Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Sauvage Elixir Dior (male) ~ 2021,0.53494,2226,1819,https://fimgs.net/mdimg/perfume/270x270.68415.jpg
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,0.62032,1735,982,https://fimgs.net/mdimg/perfume/270x270.61856.jpg
La Nuit de L'Homme Bleu Électrique Yves Saint Laurent (male) ~ 2021,0.65409,1498,725,https://fimgs.net/mdimg/perfume/270x270.67997.jpg
Dior Homme Original Dior (male) ~ 2021,0.65354,1451,703,https://fimgs.net/mdimg/perfume/270x270.69010.jpg
Ombré Leather Parfum Tom Ford (unisex) ~ 2021,0.65167,1451,709,https://fimgs.net/mdimg/perfume/270x270.68716.jpg
L'Homme Idéal Extrême Guerlain (male) ~ 2020,0.70096,1287,495,https://fimgs.net/mdimg/perfume/270x270.60284.jpg
Angels' Share By Kilian (unisex) ~ 2020,0.6801,1086,458,https://fimgs.net/mdimg/perfume/270x270.62615.jpg
Emporio Armani Stronger With You Absolutely Giorgio Armani (male) ~ 2021,0.64714,1119,551,https://fimgs.net/mdimg/perfume/270x270.64501.jpg
Acqua di Giò Profondo Giorgio Armani (male) ~ 2020,0.62538,1108,601,https://fimgs.net/mdimg/perfume/270x270.59532.jpg
Interlude Black Iris Amouage (unisex) ~ 2020,0.66087,869,396,https://fimgs.net/mdimg/perfume/270x270.60929.jpg
Beau De Jour Eau de Parfum Tom Ford (male) ~ 2020,0.62433,879,473,https://fimgs.net/mdimg/perfume/270x270.59064.jpg
Dior Homme 2020 Dior (male) ~ 2020,0.57632,912,605,https://fimgs.net/mdimg/perfume/270x270.58714.jpg
Light Blue Forever pour Homme Dolce&Gabbana (male) ~ 2021,0.57582,883,586,https://fimgs.net/mdimg/perfume/270x270.66556.jpg
Eros Eau de Parfum Versace (male) ~ 2020,0.55659,913,658,https://fimgs.net/mdimg/perfume/270x270.62762.jpg
Gentleman Eau de Parfum Boisée Givenchy (male) ~ 2020,0.6624,689,307,https://fimgs.net/mdimg/perfume/270x270.59009.jpg
Y Le Parfum Yves Saint Laurent (male) ~ 2021,0.59247,771,473,https://fimgs.net/mdimg/perfume/270x270.64718.jpg
Terre d'Hermes Flacon H 2021 Parfum Hermès (male) ~ 2021,0.65896,656,296,https://fimgs.net/mdimg/perfume/270x270.65397.jpg
Pasha de Cartier Parfum Cartier (male) ~ 2020,0.62143,598,318,https://fimgs.net/mdimg/perfume/270x270.59418.jpg
Armani Code Eau de Parfum Giorgio Armani (male) ~ 2021,0.59357,596,358,https://fimgs.net/mdimg/perfume/270x270.65581.jpg
H24 Hermès (male) ~ 2021,0.49608,694,633,https://fimgs.net/mdimg/perfume/270x270.65147.jpg
The Most Wanted Azzaro (male) ~ 2021,0.58334,548,342,https://fimgs.net/mdimg/perfume/270x270.66826.jpg
Tobacolor Dior (unisex) ~ 2021,0.60144,434,246,https://fimgs.net/mdimg/perfume/270x270.65551.jpg
Le Lion Eau de Parfum Chanel (unisex) ~ 2020,0.5763,410,258,https://fimgs.net/mdimg/perfume/270x270.61036.jpg
Black Orchid Parfum Tom Ford (unisex) ~ 2020,0.53339,402,303,https://fimgs.net/mdimg/perfume/270x270.62199.jpg
Gentleman Eau de Toilette Intense Givenchy (male) ~ 2021,0.5503,378,264,https://fimgs.net/mdimg/perfume/270x270.65051.jpg
Spicebomb Infrared Viktor&Rolf (male) ~ 2021,0.51758,385,309,https://fimgs.net/mdimg/perfume/270x270.66514.jpg
Bade'e Al Oud Oud for Glory Lattafa Perfumes (unisex) ~ 2020,0.49822,369,320,https://fimgs.net/mdimg/perfume/270x270.64948.jpg
The One For Men Eau de Parfum Intense Dolce&Gabbana (male) ~ 2020,0.53391,331,245,https://fimgs.net/mdimg/perfume/270x270.59313.jpg
Luna Rossa Ocean Prada (male) ~ 2021,0.46037,405,414,https://fimgs.net/mdimg/perfume/270x270.68753.jpg
Reflection 45 Man Amouage (male) ~ 2021,0.59951,264,144,https://fimgs.net/mdimg/perfume/270x270.69488.jpg
Pegasus Exclusif Parfums de Marly (male) ~ 2020,0.6154,255,129,https://fimgs.net/mdimg/perfume/270x270.63100.jpg
Club de Nuit Sillage Armaf (unisex) ~ 2020,0.59378,258,144,https://fimgs.net/mdimg/perfume/270x270.64105.jpg
Ébène Fumé Tom Ford (unisex) ~ 2021,0.51083,305,247,https://fimgs.net/mdimg/perfume/270x270.69008.jpg
Costa Azzurra Tom Ford (unisex) ~ 2021,0.51302,303,243,https://fimgs.net/mdimg/perfume/270x270.64617.jpg
Eros Parfum Versace (male) ~ 2021,0.44867,366,390,https://fimgs.net/mdimg/perfume/270x270.70090.jpg
Interlude 53 Man Amouage (male) ~ 2020,0.57114,227,138,https://fimgs.net/mdimg/perfume/270x270.64153.jpg
Costume National Homme Parfum CoSTUME NATIONAL (male) ~ 2020,0.54877,235,158,https://fimgs.net/mdimg/perfume/270x270.64016.jpg
Greenley Parfums de Marly (unisex) ~ 2020,0.54028,230,160,https://fimgs.net/mdimg/perfume/270x270.62101.jpg
Boundless Amouage (unisex) ~ 2021,0.50762,237,190,https://fimgs.net/mdimg/perfume/270x270.66528.jpg
Narciso Rodriguez For Him Bleu Noir Eau De Toilette Extreme Narciso Rodriguez (male) ~ 2020,0.54786,210,140,https://fimgs.net/mdimg/perfume/270x270.59238.jpg
