Perfume Name,Wilson Score,Thumbs Up,Thumbs Down,Img Url
Black Orchid Parfum Tom Ford (unisex) ~ 2020,0.62558,637,334,https://fimgs.net/mdimg/perfume/270x270.62199.jpg
Angels' Share By Kilian (unisex) ~ 2020,0.68338,555,220,https://fimgs.net/mdimg/perfume/270x270.62615.jpg
Ani Nishane (unisex) ~ 2019,0.72159,396,125,https://fimgs.net/mdimg/perfume/270x270.54785.jpg
Mémoire d’une Odeur Gucci (unisex) ~ 2019,0.53103,464,357,https://fimgs.net/mdimg/perfume/270x270.56096.jpg
Whispers in the Library Maison Martin Margiela (unisex) ~ 2019,0.6404,328,152,https://fimgs.net/mdimg/perfume/270x270.53537.jpg
L'Ombre Des Merveilles Hermès (unisex) ~ 2020,0.68963,289,104,https://fimgs.net/mdimg/perfume/270x270.59799.jpg
Bee Zoologist Perfumes (unisex) ~ 2019,0.60802,321,172,https://fimgs.net/mdimg/perfume/270x270.58140.jpg
Iris Torréfié Guerlain (unisex) ~ 2020,0.73153,267,76,https://fimgs.net/mdimg/perfume/270x270.62527.jpg
Instant Crush Mancera (unisex) ~ 2019,0.61508,290,149,https://fimgs.net/mdimg/perfume/270x270.54885.jpg
Coromandel Parfum Chanel (unisex) ~ 2019,0.75444,216,52,https://fimgs.net/mdimg/perfume/270x270.56712.jpg
Rose & Cuir Frederic Malle (unisex) ~ 2019,0.6316,221,102,https://fimgs.net/mdimg/perfume/270x270.56516.jpg
Coffee Break Maison Martin Margiela (unisex) ~ 2019,0.58128,227,132,https://fimgs.net/mdimg/perfume/270x270.55926.jpg
Baccarat Rouge 540 Extrait Limited Edition Maison Francis Kurkdjian (unisex) ~ 2020,0.63642,184,81,https://fimgs.net/mdimg/perfume/270x270.63802.jpg
Le Lion Eau de Parfum Chanel (unisex) ~ 2020,0.65498,173,69,https://fimgs.net/mdimg/perfume/270x270.61036.jpg
Tuscan Leather Intense Tom Ford (unisex) ~ 2019,0.57137,196,117,https://fimgs.net/mdimg/perfume/270x270.55340.jpg
Ristretto Intense Café Montale (unisex) ~ 2019,0.6493,171,70,https://fimgs.net/mdimg/perfume/270x270.55001.jpg
Bois Mystérieux Guerlain (unisex) ~ 2019,0.70719,140,41,https://fimgs.net/mdimg/perfume/270x270.53241.jpg
Soleil Neige Tom Ford (unisex) ~ 2019,0.5764,143,80,https://fimgs.net/mdimg/perfume/270x270.56737.jpg
Ganymede Marc-Antoine Barrois (unisex) ~ 2019,0.63517,129,54,https://fimgs.net/mdimg/perfume/270x270.54720.jpg
Winter Palace Memo Paris (unisex) ~ 2019,0.63138,123,52,https://fimgs.net/mdimg/perfume/270x270.55377.jpg
Musk Deer Zoologist Perfumes (unisex) ~ 2020,0.5623,128,75,https://fimgs.net/mdimg/perfume/270x270.62710.jpg
Toy Boy Moschino (male) ~ 2019,0.56993,115,64,https://fimgs.net/mdimg/perfume/270x270.55858.jpg
Sticky Fingers Francesca Bianchi (unisex) ~ 2020,0.66741,98,33,https://fimgs.net/mdimg/perfume/270x270.61631.jpg
Tobacco Mandarin Byredo (unisex) ~ 2020,0.59191,105,52,https://fimgs.net/mdimg/perfume/270x270.63031.jpg
Vetiver & Golden Vanilla Jo Malone London (unisex) ~ 2020,0.5258,119,81,https://fimgs.net/mdimg/perfume/270x270.58393.jpg
Tam Dao Limited Edition Diptyque (unisex) ~ 2019,0.60111,100,47,https://fimgs.net/mdimg/perfume/270x270.55612.jpg
Gris Charnel BDK Parfums (unisex) ~ 2019,0.55361,108,64,https://fimgs.net/mdimg/perfume/270x270.57038.jpg
Eau Capitale Eau de Parfum Diptyque (unisex) ~ 2019,0.58967,99,49,https://fimgs.net/mdimg/perfume/270x270.58391.jpg
Aqua Allegoria Coconut Fizz Guerlain (unisex) ~ 2019,0.59464,94,45,https://fimgs.net/mdimg/perfume/270x270.53806.jpg
Halfeti Leather Penhaligon's (unisex) ~ 2020,0.53635,93,58,https://fimgs.net/mdimg/perfume/270x270.61523.jpg
Sedley Parfums de Marly (unisex) ~ 2019,0.50773,98,70,https://fimgs.net/mdimg/perfume/270x270.56273.jpg
Sintra Memo Paris (unisex) ~ 2020,0.55932,82,45,https://fimgs.net/mdimg/perfume/270x270.62837.jpg
Cuir Intense Guerlain (unisex) ~ 2019,0.60549,76,33,https://fimgs.net/mdimg/perfume/270x270.55393.jpg
Myrrh & Tonka Cologne Intense Jo Malone London (unisex) ~ 2019,0.57469,74,37,https://fimgs.net/mdimg/perfume/270x270.55760.jpg
Bitter Peach Tom Ford (unisex) ~ 2020,0.40675,130,150,https://fimgs.net/mdimg/perfume/270x270.62707.jpg
Rolling in Love By Kilian (unisex) ~ 2019,0.53192,78,48,https://fimgs.net/mdimg/perfume/270x270.56402.jpg
Rose Prick Tom Ford (unisex) ~ 2020,0.43179,108,109,https://fimgs.net/mdimg/perfume/270x270.58781.jpg
1957 Eau de Parfum Chanel (unisex) ~ 2019,0.58998,68,31,https://fimgs.net/mdimg/perfume/270x270.52483.jpg
Atomic Rose Initio Parfums Prives (unisex) ~ 2019,0.53353,73,44,https://fimgs.net/mdimg/perfume/270x270.57587.jpg
Sloth Zoologist Perfumes (unisex) ~ 2020,0.49743,78,56,https://fimgs.net/mdimg/perfume/270x270.59597.jpg
Snowy Owl Zoologist Perfumes (unisex) ~ 2020,0.53557,68,40,https://fimgs.net/mdimg/perfume/270x270.64381.jpg
Ebony Wood Zara (unisex) ~ 2019,0.4822,77,59,https://fimgs.net/mdimg/perfume/270x270.58157.jpg
Spirito Fiorentino Tiziana Terenzi (unisex) ~ 2019,0.50756,65,43,https://fimgs.net/mdimg/perfume/270x270.52197.jpg
Oud Tobacco Montale (unisex) ~ 2020,0.50158,66,45,https://fimgs.net/mdimg/perfume/270x270.61494.jpg
Vetiver Pamplemousse Zara (unisex) ~ 2019,0.47694,69,53,https://fimgs.net/mdimg/perfume/270x270.58155.jpg
CK Everyone Eau de Toilette Calvin Klein (unisex) ~ 2020,0.44955,73,64,https://fimgs.net/mdimg/perfume/270x270.59021.jpg
L'Air Des Alpes Suisses Tauer Perfumes (unisex) ~ 2019,0.51328,60,38,https://fimgs.net/mdimg/perfume/270x270.56977.jpg
Oud Rosewood Dior (unisex) ~ 2020,0.62049,48,17,https://fimgs.net/mdimg/perfume/270x270.60318.jpg
A Whiff of Waffle Cone Imaginary Authors (unisex) ~ 2020,0.486,60,43,https://fimgs.net/mdimg/perfume/270x270.64228.jpg
Un Jardin Sur La Lagune Hermès (unisex) ~ 2019,0.50531,57,37,https://fimgs.net/mdimg/perfume/270x270.53373.jpg
Squid Zoologist Perfumes (unisex) ~ 2019,0.4759,60,45,https://fimgs.net/mdimg/perfume/270x270.56294.jpg
Aqua Allegoria Orange Soleia Guerlain (unisex) ~ 2020,0.56607,49,23,https://fimgs.net/mdimg/perfume/270x270.58967.jpg
Rouge Trafalgar Dior (female) ~ 2020,0.56973,48,22,https://fimgs.net/mdimg/perfume/270x270.58665.jpg
Le Pavillon D'Or Parfums Dusita (unisex) ~ 2019,0.51377,51,31,https://fimgs.net/mdimg/perfume/270x270.57020.jpg
Enclave Amouage (unisex) ~ 2020,0.56795,46,21,https://fimgs.net/mdimg/perfume/270x270.62856.jpg
Colonia Futura Acqua di Parma (unisex) ~ 2020,0.57639,44,19,https://fimgs.net/mdimg/perfume/270x270.62332.jpg
Libre Intense Yves Saint Laurent (female) ~ 2020,0.38534,83,99,https://fimgs.net/mdimg/perfume/270x270.62318.jpg
Phtaloblue Tauer Perfumes (unisex) ~ 2020,0.45247,54,44,https://fimgs.net/mdimg/perfume/270x270.61648.jpg
The Voice Of The Snake Eau de Parfum Gucci (unisex) ~ 2019,0.49286,46,30,https://fimgs.net/mdimg/perfume/270x270.53088.jpg
Panthea Iris Stéphane Humbert Lucas 777 (unisex) ~ 2019,0.5573,36,16,https://fimgs.net/mdimg/perfume/270x270.54939.jpg
Amber Oud Tobacco Edition Al Haramain Perfumes (unisex) ~ 2019,0.49558,39,24,https://fimgs.net/mdimg/perfume/270x270.55791.jpg
Chameleon Zoologist Perfumes (unisex) ~ 2019,0.46099,42,31,https://fimgs.net/mdimg/perfume/270x270.53015.jpg
Megamare Orto Parisi (unisex) ~ 2019,0.4355,45,38,https://fimgs.net/mdimg/perfume/270x270.53471.jpg
Amyris Homme Extrait de Parfum Maison Francis Kurkdjian (male) ~ 2019,0.46961,40,28,https://fimgs.net/mdimg/perfume/270x270.59744.jpg
Soleil d'Italie Mancera (unisex) ~ 2019,0.42985,45,39,https://fimgs.net/mdimg/perfume/270x270.54058.jpg
Love Kills Masque Milano (unisex) ~ 2019,0.4725,37,25,https://fimgs.net/mdimg/perfume/270x270.54644.jpg
The Black Knight Francesca Bianchi (unisex) ~ 2019,0.46415,37,26,https://fimgs.net/mdimg/perfume/270x270.57019.jpg
Patchouli Ardent Guerlain (unisex) ~ 2020,0.56433,30,12,https://fimgs.net/mdimg/perfume/270x270.60494.jpg
Bat Edition 2020 Zoologist Perfumes (unisex) ~ 2020,0.38715,50,54,https://fimgs.net/mdimg/perfume/270x270.59596.jpg
Couleur Vanille L'Artisan Parfumeur (unisex) ~ 2020,0.58929,27,9,https://fimgs.net/mdimg/perfume/270x270.59343.jpg
Copper Comme des Garcons (unisex) ~ 2019,0.44895,35,26,https://fimgs.net/mdimg/perfume/270x270.57503.jpg
Vanille Havane Les Indemodables (unisex) ~ 2020,0.45033,32,23,https://fimgs.net/mdimg/perfume/270x270.63395.jpg
Vivacious Hiram Green (unisex) ~ 2020,0.45033,32,23,https://fimgs.net/mdimg/perfume/270x270.61498.jpg
Bubble Bath Maison Martin Margiela (unisex) ~ 2020,0.41916,36,31,https://fimgs.net/mdimg/perfume/270x270.60105.jpg
Tyger Tyger Francesca Bianchi (unisex) ~ 2020,0.46067,31,21,https://fimgs.net/mdimg/perfume/270x270.64029.jpg
Bengale Rouge Papillon Artisan Perfumes (unisex) ~ 2019,0.55782,24,9,https://fimgs.net/mdimg/perfume/270x270.55667.jpg
Greenley Parfums de Marly (unisex) ~ 2020,0.36627,44,51,https://fimgs.net/mdimg/perfume/270x270.62101.jpg
She Was An Anomaly Etat Libre d'Orange (unisex) ~ 2019,0.3833,37,38,https://fimgs.net/mdimg/perfume/270x270.56994.jpg
Oud Blanc Van Cleef & Arpels (unisex) ~ 2020,0.42375,30,24,https://fimgs.net/mdimg/perfume/270x270.63844.jpg
Jasmin Antique Rogue Perfumery (unisex) ~ 2020,0.44339,27,19,https://fimgs.net/mdimg/perfume/270x270.60679.jpg
Fleur de Peau Multiuse Fragrance Diptyque (unisex) ~ 2020,0.50843,23,11,https://fimgs.net/mdimg/perfume/270x270.61029.jpg
Starlight Xerjoff (unisex) ~ 2019,0.37253,37,40,https://fimgs.net/mdimg/perfume/270x270.58246.jpg
Ray-Flection Masque Milano (unisex) ~ 2020,0.42306,28,22,https://fimgs.net/mdimg/perfume/270x270.63927.jpg
Amabile Xerjoff (unisex) ~ 2020,0.37923,31,31,https://fimgs.net/mdimg/perfume/270x270.63876.jpg
Metallique Tom Ford (female) ~ 2019,0.36339,35,39,https://fimgs.net/mdimg/perfume/270x270.55766.jpg
Kintsugi Masque Milano (unisex) ~ 2019,0.38851,28,26,https://fimgs.net/mdimg/perfume/270x270.54017.jpg
Baikal Leather Intense Nicolai Parfumeur Createur (unisex) ~ 2019,0.41176,25,20,https://fimgs.net/mdimg/perfume/270x270.56347.jpg
Libre Yves Saint Laurent (female) ~ 2019,0.36126,34,38,https://fimgs.net/mdimg/perfume/270x270.56077.jpg
Paula's Ibiza Loewe (unisex) ~ 2020,0.38076,28,27,https://fimgs.net/mdimg/perfume/270x270.60646.jpg
Ocean Leather Memo Paris (unisex) ~ 2020,0.4018,25,21,https://fimgs.net/mdimg/perfume/270x270.60587.jpg
Accento Xerjoff (unisex) ~ 2019,0.35782,30,33,https://fimgs.net/mdimg/perfume/270x270.55156.jpg
Nuit de Feu Louis Vuitton (unisex) ~ 2020,0.43824,19,12,https://fimgs.net/mdimg/perfume/270x270.60031.jpg
Lavender Extreme Tom Ford (unisex) ~ 2019,0.34305,31,37,https://fimgs.net/mdimg/perfume/270x270.54381.jpg
Thé Yulong Giorgio Armani (unisex) ~ 2020,0.4226,19,13,https://fimgs.net/mdimg/perfume/270x270.58907.jpg
Philosykos Limited Edition Diptyque (unisex) ~ 2019,0.49134,16,7,https://fimgs.net/mdimg/perfume/270x270.55615.jpg
Erba Pura Xerjoff (unisex) ~ 2019,0.39581,20,16,https://fimgs.net/mdimg/perfume/270x270.55157.jpg
Rozu Aesop (unisex) ~ 2020,0.39454,19,15,https://fimgs.net/mdimg/perfume/270x270.64167.jpg
Ashore Amouage (unisex) ~ 2020,0.42535,16,10,https://fimgs.net/mdimg/perfume/270x270.62858.jpg
Cuir de Nuit Yves Rocher (unisex) ~ 2019,0.37006,19,17,https://fimgs.net/mdimg/perfume/270x270.56459.jpg
Cuir Zerzura Giorgio Armani (unisex) ~ 2020,0.4271,15,9,https://fimgs.net/mdimg/perfume/270x270.62025.jpg
Chance Eau Tendre Eau de Parfum Chanel (female) ~ 2019,0.34471,23,25,https://fimgs.net/mdimg/perfume/270x270.52359.jpg
Club de Nuit Sillage Armaf (unisex) ~ 2020,0.49127,13,5,https://fimgs.net/mdimg/perfume/270x270.64105.jpg
Bohemian Lime Goldfield & Banks Australia (unisex) ~ 2020,0.3907,16,12,https://fimgs.net/mdimg/perfume/270x270.60923.jpg
La Couche du Diable Serge Lutens (unisex) ~ 2019,0.4601,13,6,https://fimgs.net/mdimg/perfume/270x270.55547.jpg
Rubikona No. 11 Puredistance (unisex) ~ 2020,0.33331,22,25,https://fimgs.net/mdimg/perfume/270x270.63017.jpg
EGE / ΑΙΓΑΙΟ Nishane (unisex) ~ 2020,0.32387,25,31,https://fimgs.net/mdimg/perfume/270x270.64092.jpg
I Don't Need A Prince By My Side To Be A Princess - Rose de Mai By Kilian (unisex) ~ 2019,0.31397,27,36,https://fimgs.net/mdimg/perfume/270x270.57939.jpg
Tabac Rose BDK Parfums (unisex) ~ 2020,0.38834,14,10,https://fimgs.net/mdimg/perfume/270x270.61838.jpg
Interlude 53 Man Amouage (male) ~ 2020,0.38834,14,10,https://fimgs.net/mdimg/perfume/270x270.64153.jpg
Wardasina Xerjoff (unisex) ~ 2019,0.31853,22,27,https://fimgs.net/mdimg/perfume/270x270.55163.jpg
Musc Shamal Giorgio Armani (unisex) ~ 2019,0.35812,15,13,https://fimgs.net/mdimg/perfume/270x270.55282.jpg
Cherry Punk Room 1015 (unisex) ~ 2020,0.41039,12,7,https://fimgs.net/mdimg/perfume/270x270.61264.jpg
Meander Amouage (unisex) ~ 2020,0.38734,13,9,https://fimgs.net/mdimg/perfume/270x270.62859.jpg
Amalfi Sunray Zara (unisex) ~ 2019,0.30613,25,34,https://fimgs.net/mdimg/perfume/270x270.58158.jpg
Luxor Xerjoff (unisex) ~ 2020,0.32479,18,20,https://fimgs.net/mdimg/perfume/270x270.58838.jpg
Escentric 05 Escentric Molecules (unisex) ~ 2020,0.31567,18,21,https://fimgs.net/mdimg/perfume/270x270.58970.jpg
Brilliantly British Penhaligon's (unisex) ~ 2020,0.35075,13,11,https://fimgs.net/mdimg/perfume/270x270.62879.jpg
Experimentum Crucis Etat Libre d'Orange (unisex) ~ 2019,0.33985,14,13,https://fimgs.net/mdimg/perfume/270x270.54453.jpg
Black Tie Celine (unisex) ~ 2019,0.32633,14,14,https://fimgs.net/mdimg/perfume/270x270.57925.jpg
Black Incense Malaki Chopard (unisex) ~ 2020,0.36276,11,8,https://fimgs.net/mdimg/perfume/270x270.61770.jpg
Madeleine Le Donne di Masque Masque Milano (female) ~ 2020,0.29683,19,25,https://fimgs.net/mdimg/perfume/270x270.64218.jpg
Horla January Scent Project (unisex) ~ 2020,0.29305,17,22,https://fimgs.net/mdimg/perfume/270x270.63027.jpg
Apollonia Xerjoff (unisex) ~ 2019,0.28678,22,32,https://fimgs.net/mdimg/perfume/270x270.55970.jpg
Gardénia Antigua Giorgio Armani (unisex) ~ 2020,0.31427,12,12,https://fimgs.net/mdimg/perfume/270x270.58908.jpg
Madeline Peach Meleg Perfumes (unisex) ~ 2020,0.35746,9,6,https://fimgs.net/mdimg/perfume/270x270.62591.jpg
Clémentine California Eau de Parfum Edition Limitee Atelier Cologne (unisex) ~ 2020,0.33716,10,8,https://fimgs.net/mdimg/perfume/270x270.61921.jpg
