Perfume Name,Bayesian Score,Number of Categories,Img Url
Angels' Share Anniversary Edition By Kilian (unisex) ~ 2022,1.0,2,https://fimgs.net/mdimg/perfume/270x270.77132.jpg
Dior Homme Intense 2011 Dior (male) ~ 2011,0.921535633015591,3,https://fimgs.net/mdimg/perfume/270x270.13016.jpg
Angels' Share By Kilian (unisex) ~ 2020,0.9170647244911377,6,https://fimgs.net/mdimg/perfume/270x270.62615.jpg
La Nuit de L'Homme Bleu Électrique Yves Saint Laurent (male) ~ 2021,0.8904252939792578,4,https://fimgs.net/mdimg/perfume/270x270.67997.jpg
Oud Wood Tom Ford (unisex) ~ 2007,0.882362759947422,3,https://fimgs.net/mdimg/perfume/270x270.1826.jpg
Valentino Uomo Intense 2021 Valentino (male) ~ 2021,0.8819254183269695,2,https://fimgs.net/mdimg/perfume/270x270.75094.jpg
Gentleman Eau de Parfum Reserve Privée Givenchy (male) ~ 2022,0.8767472463403164,3,https://fimgs.net/mdimg/perfume/270x270.71272.jpg
Dior Homme Original Dior (male) ~ 2021,0.8750737657241531,5,https://fimgs.net/mdimg/perfume/270x270.69010.jpg
Layton Parfums de Marly (unisex) ~ 2016,0.8727472669558687,3,https://fimgs.net/mdimg/perfume/270x270.39314.jpg
Ombré Leather Parfum Tom Ford (unisex) ~ 2021,0.8706529214506056,6,https://fimgs.net/mdimg/perfume/270x270.68716.jpg
Noir Extreme Parfum Tom Ford (male) ~ 2022,0.8690770915365642,3,https://fimgs.net/mdimg/perfume/270x270.75489.jpg
Prada L'Homme Prada (male) ~ 2016,0.8647139341619315,3,https://fimgs.net/mdimg/perfume/270x270.39029.jpg
Emporio Armani Stronger With You Absolutely Giorgio Armani (male) ~ 2021,0.861247440858008,5,https://fimgs.net/mdimg/perfume/270x270.64501.jpg
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,0.8495974826913564,3,https://fimgs.net/mdimg/perfume/270x270.5521.jpg
Dior Homme Parfum Dior (male) ~ 2014,0.8466510141843796,3,https://fimgs.net/mdimg/perfume/270x270.27417.jpg
L'Homme Idéal Extrême Guerlain (male) ~ 2020,0.8461898995856395,5,https://fimgs.net/mdimg/perfume/270x270.60284.jpg
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,0.8423762806270912,3,https://fimgs.net/mdimg/perfume/270x270.30499.jpg
XJ 1861 Naxos Xerjoff (unisex) ~ 2015,0.8402858816566554,3,https://fimgs.net/mdimg/perfume/270x270.30529.jpg
Ombré Leather (2018) Tom Ford (unisex) ~ 2018,0.8378287564541173,3,https://fimgs.net/mdimg/perfume/270x270.50239.jpg
Terre d'Hermes Eau Givree Hermès (male) ~ 2022,0.8319486400600782,3,https://fimgs.net/mdimg/perfume/270x270.72439.jpg
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,0.8311263167851068,3,https://fimgs.net/mdimg/perfume/270x270.29727.jpg
Interlude Black Iris Amouage (unisex) ~ 2020,0.8291210556725686,5,https://fimgs.net/mdimg/perfume/270x270.60929.jpg
Terre d'Hermès Hermès (male) ~ 2006,0.8236150320163582,3,https://fimgs.net/mdimg/perfume/270x270.17.jpg
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,0.823576470075964,3,https://fimgs.net/mdimg/perfume/270x270.25967.jpg
Noir Extreme Tom Ford (male) ~ 2015,0.8233608717106443,3,https://fimgs.net/mdimg/perfume/270x270.29675.jpg
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,0.8198113852913432,3,https://fimgs.net/mdimg/perfume/270x270.31909.jpg
The Most Wanted Parfum Azzaro (male) ~ 2022,0.817499413172672,2,https://fimgs.net/mdimg/perfume/270x270.73664.jpg
02 L'Air du Desert Marocain Tauer Perfumes (unisex) ~ 2005,0.8169282356463997,3,https://fimgs.net/mdimg/perfume/270x270.4573.jpg
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,0.8154334586979425,3,https://fimgs.net/mdimg/perfume/270x270.37735.jpg
Tobacco Vanille Tom Ford (unisex) ~ 2007,0.8132394587790932,3,https://fimgs.net/mdimg/perfume/270x270.1825.jpg
Allure Homme Sport Eau Extreme Chanel (male) ~ 2012,0.8089210308028335,3,https://fimgs.net/mdimg/perfume/270x270.14669.jpg
Intense Cedrat Boise Mancera (male) ~ 2021,0.808008425042398,3,https://fimgs.net/mdimg/perfume/270x270.72796.jpg
Ani Nishane (unisex) ~ 2019,0.8041289218348756,5,https://fimgs.net/mdimg/perfume/270x270.54785.jpg
Gris Charnel Extrait BDK Parfums (unisex) ~ 2022,0.799517042976083,3,https://fimgs.net/mdimg/perfume/270x270.73645.jpg
Terre d'Hermes Flacon H 2021 Parfum Hermès (male) ~ 2021,0.7978311477426903,2,https://fimgs.net/mdimg/perfume/270x270.65397.jpg
Eau Sauvage Dior (male) ~ 1966,0.7973910071219638,3,https://fimgs.net/mdimg/perfume/270x270.231.jpg
Herod Parfums de Marly (male) ~ 2012,0.7947781439355339,3,https://fimgs.net/mdimg/perfume/270x270.16939.jpg
Green Irish Tweed Creed (male) ~ 1985,0.7843389601005228,3,https://fimgs.net/mdimg/perfume/270x270.474.jpg
Valentino Uomo Intense Valentino (male) ~ 2016,0.7823264429749546,3,https://fimgs.net/mdimg/perfume/270x270.38254.jpg
Jubilation XXV Man Amouage (male) ~ 2007,0.7813995140139971,3,https://fimgs.net/mdimg/perfume/270x270.2366.jpg
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,0.7788355309099159,3,https://fimgs.net/mdimg/perfume/270x270.28942.jpg
Le Male Le Parfum Jean Paul Gaultier (male) ~ 2020,0.7778979241100447,5,https://fimgs.net/mdimg/perfume/270x270.61856.jpg
Coromandel Parfum Chanel (unisex) ~ 2019,0.776525799597926,2,https://fimgs.net/mdimg/perfume/270x270.56712.jpg
Encre Noire Lalique (male) ~ 2006,0.7751463930889804,3,https://fimgs.net/mdimg/perfume/270x270.1834.jpg
Beau De Jour Eau de Parfum Tom Ford (male) ~ 2020,0.7747251001323923,6,https://fimgs.net/mdimg/perfume/270x270.59064.jpg
A*Men Pure Havane Mugler (male) ~ 2011,0.7716814420250727,3,https://fimgs.net/mdimg/perfume/270x270.11444.jpg
Pasha de Cartier Parfum Cartier (male) ~ 2020,0.7700527799727664,5,https://fimgs.net/mdimg/perfume/270x270.59418.jpg
Fahrenheit Dior (male) ~ 1988,0.769910358071649,3,https://fimgs.net/mdimg/perfume/270x270.228.jpg
The Most Wanted Azzaro (male) ~ 2021,0.7639994540749122,4,https://fimgs.net/mdimg/perfume/270x270.66826.jpg
Iris Torréfié Guerlain (unisex) ~ 2020,0.763820341857482,3,https://fimgs.net/mdimg/perfume/270x270.62527.jpg
Armani Code Absolu Giorgio Armani (male) ~ 2019,0.7612553171016738,4,https://fimgs.net/mdimg/perfume/270x270.53106.jpg
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,0.7607868141858973,3,https://fimgs.net/mdimg/perfume/270x270.721.jpg
Tobacolor Dior (unisex) ~ 2021,0.7603280738321998,6,https://fimgs.net/mdimg/perfume/270x270.65551.jpg
Y Le Parfum Yves Saint Laurent (male) ~ 2021,0.7553856845164671,4,https://fimgs.net/mdimg/perfume/270x270.64718.jpg
Terre d'Hermes Parfum Hermès (male) ~ 2009,0.755347715846382,3,https://fimgs.net/mdimg/perfume/270x270.8282.jpg
Gentleman Eau de Parfum Boisée Givenchy (male) ~ 2020,0.7551915554722374,4,https://fimgs.net/mdimg/perfume/270x270.59009.jpg
Reflection Man Amouage (male) ~ 2006,0.7545130680346351,3,https://fimgs.net/mdimg/perfume/270x270.920.jpg
Vanilla Diorama Dior (unisex) ~ 2021,0.7507185917643155,3,https://fimgs.net/mdimg/perfume/270x270.68198.jpg
Bvlgari Man In Black Bvlgari (male) ~ 2014,0.7478111141192672,3,https://fimgs.net/mdimg/perfume/270x270.26358.jpg
L'Instant de Guerlain pour Homme Eau Extreme Guerlain (male) ~ 2005,0.7455881554011736,3,https://fimgs.net/mdimg/perfume/270x270.11570.jpg
Acqua di Giò Profondo Giorgio Armani (male) ~ 2020,0.7449642833851579,5,https://fimgs.net/mdimg/perfume/270x270.59532.jpg
Grey Vetiver Tom Ford (male) ~ 2009,0.7445422133189127,3,https://fimgs.net/mdimg/perfume/270x270.6697.jpg
Egoiste Platinum Chanel (male) ~ 1993,0.7445047307112286,3,https://fimgs.net/mdimg/perfume/270x270.614.jpg
Y Eau de Parfum Yves Saint Laurent (male) ~ 2018,0.7435869213750823,3,https://fimgs.net/mdimg/perfume/270x270.50757.jpg
Vetiver Guerlain (male) ~ 2000,0.7429150298200304,3,https://fimgs.net/mdimg/perfume/270x270.69.jpg
Le Lion Eau de Parfum Chanel (unisex) ~ 2020,0.7407017974194612,7,https://fimgs.net/mdimg/perfume/270x270.61036.jpg
Reflection 45 Man Amouage (male) ~ 2021,0.7387945806374301,5,https://fimgs.net/mdimg/perfume/270x270.69488.jpg
Dolce&Gabbana pour Homme (1994) Dolce&Gabbana (male) ~ 1994,0.7355613982074102,3,https://fimgs.net/mdimg/perfume/270x270.483.jpg
Club de Nuit Intense Man Parfum Armaf (male) ~ 2022,0.7328302717646547,2,https://fimgs.net/mdimg/perfume/270x270.72842.jpg
Egoiste Chanel (male) ~ 1990,0.7327914077306954,3,https://fimgs.net/mdimg/perfume/270x270.613.jpg
Gravitas Pour Homme Naughton & Wilson (male) ~ 2020,0.7325908006797152,1,https://fimgs.net/mdimg/perfume/270x270.61015.jpg
Aventus Creed (male) ~ 2010,0.7307808670889843,3,https://fimgs.net/mdimg/perfume/270x270.9828.jpg
L'Ombre Des Merveilles Hermès (unisex) ~ 2020,0.7292596958314884,5,https://fimgs.net/mdimg/perfume/270x270.59799.jpg
Acqua di Parma Colonia Acqua di Parma (unisex) ~ 1916,0.7291379906103047,3,https://fimgs.net/mdimg/perfume/270x270.1681.jpg
Dior Homme Dior (male) ~ 2011,0.7280856049780507,3,https://fimgs.net/mdimg/perfume/270x270.13015.jpg
Black Orchid Parfum Tom Ford (unisex) ~ 2020,0.7270817309294136,7,https://fimgs.net/mdimg/perfume/270x270.62199.jpg
Bleu de Chanel Parfum Chanel (male) ~ 2018,0.7269806005008499,3,https://fimgs.net/mdimg/perfume/270x270.49912.jpg
Opium Pour Homme Yves Saint Laurent (male) ~ 1995,0.7243963652335574,3,https://fimgs.net/mdimg/perfume/270x270.562.jpg
Narciso Rodriguez for Him Bleu Noir Parfum Narciso Rodriguez (male) ~ 2022,0.7236803043449573,2,https://fimgs.net/mdimg/perfume/270x270.71783.jpg
